Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11643,00000340,false,Rx,0,2,F3,FF,00,00,00,00,00,00,
14780,0000042B,false,Rx,0,4,95,1F,72,30,00,00,00,00,
16657,00000199,false,Rx,0,6,16,F1,E1,7E,00,20,00,00,
16658,0000019A,false,Rx,0,6,8B,F1,40,7F,00,10,00,00,
19304,000002EB,false,Rx,0,8,01,F1,11,11,11,62,11,FF,
19305,000001E4,false,Rx,0,8,B1,0C,61,61,11,11,11,11,
20488,000000D9,false,Rx,0,8,F8,FD,00,10,00,F0,7F,CF,
20488,000000A5,false,Rx,0,8,74,0E,FF,F7,FF,00,00,C1,
20488,000000A7,false,Rx,0,7,B9,FE,FF,F0,FF,FF,0F,00,
20489,000000DC,false,Rx,0,6,21,0E,22,D0,07,EE,00,00,
21632,0000032B,false,Rx,0,8,BF,00,32,39,FF,FF,FF,FF,
21632,00000302,false,Rx,0,7,E4,F1,B6,6F,01,00,00,00,
23513,000001A1,false,Rx,0,5,09,C8,00,00,81,00,00,00,
25641,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
25641,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
25641,0000019F,false,Rx,0,6,7F,F2,F7,7F,00,10,00,00,
28432,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
28432,0000040F,false,Rx,0,4,27,2C,0C,F1,00,00,00,00,
30637,000000D9,false,Rx,0,8,1F,FE,00,10,00,F0,7F,CF,
30638,000000FA,false,Rx,0,8,00,D4,00,E0,7F,01,0A,C4,
30638,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
32196,00000350,false,Rx,0,8,FF,FF,FF,63,FF,FF,FF,FF,
33360,000002A7,false,Rx,0,5,8E,F9,FE,FF,14,00,00,00,
33361,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
33361,00000197,false,Rx,0,4,37,07,FE,FC,00,00,00,00,
34634,000001B3,false,Rx,0,8,C4,12,00,0B,00,FF,FF,96,
36630,00000199,false,Rx,0,6,C2,F3,E1,7E,00,20,00,00,
36631,0000019A,false,Rx,0,6,8C,F3,45,7F,00,10,00,00,
38267,00000314,false,Rx,0,5,50,80,1D,FF,FF,00,00,00,
38268,00000349,false,Rx,0,5,FE,FF,FE,FF,FF,00,00,00,
39777,000001C0,false,Rx,0,8,5F,39,00,40,63,55,55,57,
39778,00000371,false,Rx,0,5,50,41,32,50,FD,00,00,00,
39778,000000D9,false,Rx,0,8,1E,F0,00,10,00,F0,7F,CF,
39779,000000A5,false,Rx,0,8,75,00,FF,F7,FF,00,00,C1,
40726,000000C0,false,Rx,0,2,F9,40,00,00,00,00,00,00,
40726,000000A7,false,Rx,0,7,3A,F0,FF,F0,FF,FF,0F,00,
40727,000000DC,false,Rx,0,6,37,00,22,D0,07,EE,00,00,
40727,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
40727,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
41834,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
41834,00000173,false,Rx,0,8,38,F1,00,02,20,00,D2,98,
43412,000001A1,false,Rx,0,5,94,C9,00,00,81,00,00,00,
45630,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
45631,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
46609,0000019F,false,Rx,0,6,90,F4,03,80,00,10,00,00,
48634,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
48635,000001E1,false,Rx,0,6,DF,F0,00,FF,FF,FF,00,00,
50033,000002BB,false,Rx,0,5,8E,F5,3F,00,F2,00,00,00,
50034,000000D9,false,Rx,0,8,43,F1,00,10,00,F0,7F,CF,
50034,000000FA,false,Rx,0,8,02,C0,08,00,C8,07,D0,D7,
