Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1242281,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1242284,000000DC,false,Rx,0,6,37,00,22,D0,07,EE,00,00,
1242285,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1242287,00000173,false,Rx,0,8,38,F1,00,02,20,00,D2,98,
1243521,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1243525,000002F4,false,Rx,0,2,00,00,00,00,00,00,00,00,
1243527,00000347,false,Rx,0,8,38,4A,F8,2A,FC,FF,F8,FF,
1243530,000001A1,false,Rx,0,5,94,C9,00,00,81,00,00,00,
1245706,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1245709,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1245711,0000019F,false,Rx,0,6,64,F4,04,80,00,10,00,00,
1248341,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
1248344,000001E1,false,Rx,0,6,BE,F6,00,FF,FF,FF,00,00,
1250642,000002BB,false,Rx,0,5,7A,F2,3F,00,F2,00,00,00,
1250645,000000D9,false,Rx,0,8,43,F1,00,10,00,F0,7F,CF,
1250647,000000FA,false,Rx,0,8,02,C0,08,00,C8,07,D0,D7,
1250649,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1251636,00000201,false,Rx,0,8,3E,BA,70,C9,00,FF,F0,FF,
1251638,0000029D,false,Rx,0,8,FF,FF,FF,FF,0F,FF,FF,FF,
1251640,000002C4,false,Rx,0,8,00,00,00,FF,FF,00,00,0F,
1256749,00000199,false,Rx,0,6,A3,F5,E1,7E,00,20,00,00,
1256752,0000019A,false,Rx,0,6,85,F5,4A,7F,00,10,00,00,
1258481,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
1260647,000000D9,false,Rx,0,8,A4,F2,00,10,00,F0,7F,CF,
1260652,000000A5,false,Rx,0,8,28,01,FF,F7,FF,00,00,C1,
1260657,000000A7,false,Rx,0,7,7C,F1,FF,F0,FF,FF,0F,00,
1260659,000000DC,false,Rx,0,6,5D,01,22,D0,07,EE,00,00,
1261773,00000302,false,Rx,0,7,E1,F5,B6,6F,01,00,00,00,
1263516,000001A1,false,Rx,0,5,2E,CA,00,00,81,00,00,00,
1263519,00000197,false,Rx,0,4,31,03,FE,FC,00,00,00,00,
1265858,000003A1,false,Rx,0,8,00,01,00,03,00,C0,00,F0,
1265861,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1265863,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1266727,0000019F,false,Rx,0,6,B0,F6,04,80,00,10,00,00,
1268401,000002E0,false,Rx,0,6,2B,F2,75,40,24,FF,00,00,
1268404,00000065,false,Rx,0,8,DB,8E,00,03,FF,FF,FF,FF,
1269522,000001E4,false,Rx,0,8,84,07,61,61,11,11,11,11,
1270654,000000D9,false,Rx,0,8,F9,F3,00,10,00,F0,7F,CF,
1270657,000000FA,false,Rx,0,8,03,10,08,02,38,59,28,CA,
1270660,00000145,false,Rx,0,3,C8,9F,F0,00,00,00,00,00,
1270663,000001AE,false,Rx,0,3,07,65,1A,00,00,00,00,00,
1271656,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1271659,00000284,false,Rx,0,8,C8,80,0C,FF,FF,FF,FF,0F,
1271662,000002EB,false,Rx,0,8,69,FB,11,11,11,62,11,FF,
1273836,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
1276748,00000199,false,Rx,0,6,CC,F7,EB,7E,00,20,00,00,
1276751,0000019A,false,Rx,0,6,EA,F7,40,7F,00,10,00,00,
1278477,000000CA,false,Rx,0,8,E1,2E,00,00,00,00,FD,F7,
1279838,000001C0,false,Rx,0,8,B8,3A,00,40,63,55,55,57,
1279841,00000376,false,Rx,0,3,33,10,11,00,00,00,00,00,
1279843,000000D9,false,Rx,0,8,77,F4,00,10,00,F0,7F,CF,
1280716,000000A5,false,Rx,0,8,CF,02,FF,F7,FF,00,00,C1,
1280722,000000A7,false,Rx,0,7,B6,F2,FF,F0,FF,FF,0F,00,
1280724,000000DC,false,Rx,0,6,E3,02,22,D0,07,EE,00,00,
1282375,00000163,false,Rx,0,8,72,F7,04,25,13,15,02,F5,
1283811,000001A1,false,Rx,0,5,B3,CB,00,00,81,00,00,00,
1285717,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1285720,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1286720,0000019F,false,Rx,0,6,B4,F8,F8,7F,00,10,00,00,
1288102,0000036F,false,Rx,0,5,D4,FC,FE,FF,14,00,00,00,
1288105,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
1288107,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
1288108,0000012F,false,Rx,0,8,32,78,FA,DD,FF,FF,FF,00,
1290649,000000D9,false,Rx,0,8,2A,F5,00,10,00,F0,7F,CF,
1290651,000000FA,false,Rx,0,8,05,86,12,08,76,76,76,00,
1290653,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1290656,00000397,false,Rx,0,7,C2,FF,FF,FF,FF,FF,FF,00,
1291641,0000041E,false,Rx,0,8,00,F1,CF,FF,FF,FF,FF,FF,
1291645,00000510,false,Rx,0,8,40,10,00,02,02,92,01,00,
1291647,00000173,false,Rx,0,8,B6,F6,00,02,20,00,D2,98,
1293979,00000197,false,Rx,0,4,BB,04,FE,FC,00,00,00,00,
1295245,000000AB,false,Rx,0,8,7E,F7,04,00,00,D0,FF,FF,
1296518,00000276,false,Rx,0,8,C0,00,00,00,00,C0,FF,FF,
1296520,00000199,false,Rx,0,6,61,F9,E1,7E,00,20,00,00,
1296522,0000019A,false,Rx,0,6,47,F9,4A,7F,00,10,00,00,
1300408,000000D9,false,Rx,0,8,CD,F6,00,10,00,F0,7F,CF,
1300410,000000A5,false,Rx,0,8,92,03,FF,F7,FF,00,00,C1,
1300412,000000A7,false,Rx,0,7,F0,F3,FF,F0,FF,FF,0F,00,
1300414,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1300417,000000DC,false,Rx,0,6,89,03,22,D0,07,EE,00,00,
1301580,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1301583,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1301585,00000201,false,Rx,0,8,52,BA,83,C9,00,FF,F0,FF,
1301587,00000302,false,Rx,0,7,EE,F9,B6,6F,01,00,00,00,
1301589,000003FD,false,Rx,0,5,E3,0B,20,FF,FF,00,00,00,
1303509,000001A1,false,Rx,0,5,47,CC,00,00,81,00,00,00,
1305693,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1305696,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1305698,0000019F,false,Rx,0,6,2E,FA,FC,7F,00,10,00,00,
1308649,0000003C,false,Rx,0,8,E4,AB,02,92,01,00,2A,FF,
1310451,000000D9,false,Rx,0,8,90,F7,00,10,00,F0,7F,CF,
1310453,000000FA,false,Rx,0,8,05,FD,FD,FD,FD,FD,FD,E9,
1310455,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1310458,0000031C,false,Rx,0,8,FF,3F,FF,FF,09,00,40,FD,
1311642,00000265,false,Rx,0,8,F1,66,88,13,70,30,FF,FF,
1313650,000002A7,false,Rx,0,5,34,FA,FE,FF,14,00,00,00,
1313653,000001C3,false,Rx,0,8,4A,46,00,00,00,00,00,00,
1313657,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
1313660,000001DD,false,Rx,0,8,00,00,00,F0,FF,FF,FF,FF,
1315189,0000015D,false,Rx,0,8,FF,FF,FF,0F,F0,FF,FF,FF,
1316427,0000021D,false,Rx,0,8,00,00,00,FF,FF,FF,FF,FF,
1316429,00000203,false,Rx,0,8,FE,86,00,FF,FF,FF,00,C0,
1316432,00000199,false,Rx,0,6,B5,FB,E1,7E,00,20,00,00,
1316434,0000019A,false,Rx,0,6,FB,FB,45,7F,00,10,00,00,
1318638,00000314,false,Rx,0,5,50,80,1D,FF,FF,00,00,00,
1318641,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
1318643,000002EB,false,Rx,0,8,E7,FC,11,11,11,62,11,FF,
1318645,000001E4,false,Rx,0,8,D8,08,61,61,11,11,11,11,
1319685,000001C0,false,Rx,0,8,E5,3B,00,40,63,55,55,57,
1319687,000000D9,false,Rx,0,8,CC,F8,00,10,00,F0,7F,CF,
1319689,000000A5,false,Rx,0,8,1C,04,FF,F7,FF,00,00,C1,
1320866,000000A7,false,Rx,0,7,3F,F4,FF,F0,FF,FF,0F,00,
1320869,000000DC,false,Rx,0,6,82,04,22,D0,07,EE,00,00,
1320870,0000032B,false,Rx,0,8,C0,00,32,39,FF,FF,FF,FF,
1323666,000001A1,false,Rx,0,5,DA,CD,00,00,81,00,00,00,
1323670,00000197,false,Rx,0,4,34,05,FE,FC,00,00,00,00,
1325416,000007C3,false,Rx,0,8,13,01,0C,76,06,06,02,00,
1325419,000007C4,false,Rx,0,4,00,00,00,1E,00,00,00,00,
1325421,000007C5,false,Rx,0,8,00,00,02,01,00,01,01,AA,
1325422,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1325424,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1326681,000007C6,false,Rx,0,3,00,00,00,00,00,00,00,00,
1326684,0000019F,false,Rx,0,6,BA,FC,F2,7F,00,10,00,00,
1327675,000003CA,false,Rx,0,8,F3,60,60,FF,0A,76,FF,FF,
1327678,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
1329701,000001BB,false,Rx,0,8,FF,FF,00,FF,FF,FF,FF,FF,
1329704,000000D9,false,Rx,0,8,91,F9,00,10,00,F0,7F,CF,
1330920,000000FA,false,Rx,0,8,00,B4,00,E0,7F,01,0A,C4,
1330923,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1334737,000001B3,false,Rx,0,8,C4,12,00,09,00,FF,FF,94,
1334740,000001DF,false,Rx,0,8,00,00,00,00,DE,FF,FF,FF,
1336837,00000199,false,Rx,0,6,D4,FD,E1,7E,00,20,00,00,
1336839,0000019A,false,Rx,0,6,F2,FD,4A,7F,00,10,00,00,
1336841,000002EC,false,Rx,0,8,F0,0C,00,00,FF,FF,07,00,
1336844,000002F3,false,Rx,0,8,FF,FF,00,FF,FF,FF,FF,FF,
1340851,000000D9,false,Rx,0,8,76,FA,00,10,00,F0,7F,CF,
1340854,000000A5,false,Rx,0,8,41,05,FF,F7,FF,00,00,C1,
1340856,000000A7,false,Rx,0,7,79,F5,FF,F0,FF,FF,0F,00,
1340858,000000DC,false,Rx,0,6,E8,05,22,D0,07,EE,00,00,
1341768,00000173,false,Rx,0,8,50,FB,00,02,20,00,D2,98,
1341771,00000302,false,Rx,0,7,EB,FD,B6,6F,01,00,00,00,
1343494,000001A1,false,Rx,0,5,60,CE,00,00,81,00,00,00,
1345701,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1345703,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1346695,0000019F,false,Rx,0,6,E0,FE,06,80,00,10,00,00,
1348418,000002A5,false,Rx,0,2,FE,FE,00,00,00,00,00,00,
1348422,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
1350037,00000385,false,Rx,0,8,FF,FC,FF,5E,F5,3F,FF,DE,
1350041,000002BB,false,Rx,0,5,E7,F3,3F,00,F2,00,00,00,
1350043,000000D9,false,Rx,0,8,2B,FB,00,10,00,F0,7F,CF,
1350045,000000FA,false,Rx,0,8,02,C0,08,00,C8,07,D0,D7,
1351109,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1351112,00000201,false,Rx,0,8,66,BA,97,C9,00,FF,F0,FF,
1351113,000001B9,false,Rx,0,8,00,FF,FF,FF,FF,FF,FF,FF,
1351116,0000029D,false,Rx,0,8,FF,FF,FF,FF,0F,FF,FF,FF,
1351118,000002C4,false,Rx,0,8,00,00,00,FF,FF,00,00,0F,
1353852,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
1353855,00000197,false,Rx,0,4,B8,06,FE,FC,00,00,00,00,
1356746,00000199,false,Rx,0,6,7C,F0,E1,7E,00,20,00,00,
1356748,0000019A,false,Rx,0,6,32,F0,45,7F,00,10,00,00,
1358409,000000CA,false,Rx,0,8,E0,20,00,00,00,00,FD,F7,
1359692,000001C0,false,Rx,0,8,6B,3C,00,40,63,55,55,57,
1359694,000000D9,false,Rx,0,8,A5,FC,00,10,00,F0,7F,CF,
1359697,000000A5,false,Rx,0,8,A6,06,FF,F7,FF,00,00,C1,
1360867,000000A7,false,Rx,0,7,B3,F6,FF,F0,FF,FF,0F,00,
1360869,000000DC,false,Rx,0,6,56,06,22,D0,07,EE,00,00,
1360871,0000026B,false,Rx,0,8,05,17,FD,FF,FF,FF,FF,FF,
1360873,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1360875,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1362129,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1363567,000001A1,false,Rx,0,5,95,C0,00,00,81,00,00,00,
1365704,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1365707,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1365708,0000019F,false,Rx,0,6,E5,F1,EE,7F,00,10,00,00,
1368109,0000036E,false,Rx,0,5,1B,FC,FE,FF,14,00,00,00,
1368112,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
1368114,00000065,false,Rx,0,8,DA,80,00,03,FF,FF,FF,FF,
1368116,000002E0,false,Rx,0,6,41,F3,75,40,24,FF,00,00,
1369247,000002EB,false,Rx,0,8,BA,FD,11,11,11,62,11,FF,
1370372,000000D9,false,Rx,0,8,F8,FD,00,10,00,F0,7F,CF,
1370374,000000FA,false,Rx,0,8,03,10,08,02,38,59,28,CA,
1370376,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1370378,000001AE,false,Rx,0,3,07,65,1A,00,00,00,00,00,
1371451,00000284,false,Rx,0,8,C8,80,0C,FF,FF,FF,FF,0F,
1371453,000003AD,false,Rx,0,8,00,F0,FF,FF,FF,52,FF,FF,
1371455,000001E4,false,Rx,0,8,85,09,61,61,11,11,11,11,
1376668,00000199,false,Rx,0,6,AE,F2,D7,7E,00,20,00,00,
1376671,0000019A,false,Rx,0,6,5D,F2,4F,7F,00,10,00,00,
1378367,000005C0,false,Rx,0,8,29,FF,7F,00,FF,FF,FF,FF,
1378369,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
1378371,00000346,false,Rx,0,4,5F,51,21,FF,00,00,00,00,
1379623,00000376,false,Rx,0,3,7F,11,11,00,00,00,00,00,
1379626,000000D9,false,Rx,0,8,1F,FE,00,10,00,F0,7F,CF,
1379627,000000A5,false,Rx,0,8,FB,07,FF,F7,FF,00,00,C1,
1380805,000000A7,false,Rx,0,7,F5,F7,FF,F0,FF,FF,0F,00,
1380808,000000DC,false,Rx,0,6,3C,07,22,D0,07,EE,00,00,
1380810,00000163,false,Rx,0,8,F3,F2,04,25,13,15,04,F5,
1381970,00000302,false,Rx,0,7,2E,F2,B6,6F,01,00,00,00,
1383555,000001A1,false,Rx,0,5,08,C1,00,00,81,00,00,00,
1383558,00000197,false,Rx,0,4,37,07,FE,FC,00,00,00,00,
1385682,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1385685,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1385686,0000019F,false,Rx,0,6,33,F3,FC,7F,00,10,00,00,
1386899,00000301,false,Rx,0,7,07,C3,04,72,FF,FF,2F,00,
1388369,0000012F,false,Rx,0,8,6F,79,FA,DD,FF,FF,FF,00,
1390402,000000D9,false,Rx,0,8,1E,F0,00,10,00,F0,7F,CF,
1390404,000000FA,false,Rx,0,8,05,86,12,08,76,76,76,00,
1390406,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1390407,0000030C,false,Rx,0,5,60,F3,FE,FF,14,00,00,00,
1391565,000003E9,false,Rx,0,8,FF,FF,0F,FF,FF,FF,FF,FF,
1391569,00000510,false,Rx,0,8,40,10,00,02,02,92,01,00,
1391571,00000173,false,Rx,0,8,38,F1,00,02,20,00,D2,98,
1393326,000002A7,false,Rx,0,5,A9,FB,FE,FF,14,00,00,00,
1393328,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
1394828,0000032E,false,Rx,0,8,57,C8,FF,8D,85,7F,00,20,
1396679,00000199,false,Rx,0,6,C9,F4,E1,7E,00,20,00,00,
1396682,0000019A,false,Rx,0,6,EF,F4,4A,7F,00,10,00,00,
1399072,0000037F,false,Rx,0,2,FF,F0,00,00,00,00,00,00,
1399075,000001C0,false,Rx,0,8,36,3D,00,40,63,55,55,57,
1400324,000000D9,false,Rx,0,8,43,F1,00,10,00,F0,7F,CF,
1400327,000000A5,false,Rx,0,8,A7,08,FF,F7,FF,00,00,C1,
1400328,000000A7,false,Rx,0,7,30,F8,FF,F0,FF,FF,0F,00,
1400330,000000DC,false,Rx,0,6,40,08,22,D0,07,EE,00,00,
1400332,00000297,false,Rx,0,7,7C,F3,F0,E0,F0,F0,A8,00,
1401427,00000201,false,Rx,0,8,7A,BA,AC,C9,00,FF,F0,FF,
1401429,000003B4,false,Rx,0,8,FF,FF,FC,FF,F8,F8,00,FF,
1401432,000003FD,false,Rx,0,5,17,0C,20,FF,FF,00,00,00,
1403455,000001A1,false,Rx,0,5,B2,C2,00,00,81,00,00,00,
1405658,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1405660,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1406656,0000019F,false,Rx,0,6,67,F5,02,80,00,10,00,00,
1408162,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
1408164,0000003C,false,Rx,0,8,6A,AC,02,92,01,00,2A,FF,
1408166,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
1410408,000000D9,false,Rx,0,8,A4,F2,00,10,00,F0,7F,CF,
1410411,000000FA,false,Rx,0,8,05,FD,FD,FD,FD,FD,FD,E9,
1410413,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1410415,000001C8,false,Rx,0,8,00,00,00,00,F0,31,FF,FF,
1411678,00000265,false,Rx,0,8,F1,66,88,13,70,30,FF,FF,
1411680,00000340,false,Rx,0,2,F3,FF,00,00,00,00,00,00,
1413324,00000173,false,Rx,0,8,5F,F4,00,02,20,00,D2,9F,
1413327,00000197,false,Rx,0,4,B1,08,FE,FC,00,00,00,00,
1415228,0000042B,false,Rx,0,4,95,1F,72,30,00,00,00,00,
1416662,00000199,false,Rx,0,6,1D,F6,E1,7E,00,20,00,00,
1416664,0000019A,false,Rx,0,6,53,F6,45,7F,00,10,00,00,
1418843,000002EB,false,Rx,0,8,5D,FE,11,11,11,62,11,FF,
1418845,000001E4,false,Rx,0,8,62,0A,61,61,11,11,11,11,
1420329,000000D9,false,Rx,0,8,F9,F3,00,10,00,F0,7F,CF,
1420331,000000A5,false,Rx,0,8,FA,09,FF,F7,FF,00,00,C1,
1420333,000000A7,false,Rx,0,7,76,F9,FF,F0,FF,FF,0F,00,
1420335,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1420336,000000DC,false,Rx,0,6,2A,09,22,D0,07,EE,00,00,
1421495,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1421497,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1421499,00000302,false,Rx,0,7,2B,F6,B6,6F,01,00,00,00,
1421500,0000032B,false,Rx,0,8,C0,00,33,39,FF,FF,FF,FF,
1423494,000001A1,false,Rx,0,5,2F,C3,00,00,81,00,00,00,
1425660,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1425662,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1425664,0000019F,false,Rx,0,6,94,F7,00,80,00,10,00,00,
1428247,000005E0,false,Rx,0,8,11,03,00,09,FF,FF,C0,00,
1430405,000000D9,false,Rx,0,8,77,F4,00,10,00,F0,7F,CF,
1430407,000000FA,false,Rx,0,8,00,C4,00,E0,7F,01,0A,C4,
1430408,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1433772,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
1433774,000001B3,false,Rx,0,8,C4,12,00,0A,00,FF,FF,95,
1436702,00000199,false,Rx,0,6,0B,F8,E1,7E,00,20,00,00,
1436707,0000019A,false,Rx,0,6,96,F8,40,7F,00,10,00,00,
1438338,000000CA,false,Rx,0,8,BD,21,00,00,00,00,FD,F7,
1438340,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
1438342,00000349,false,Rx,0,5,FE,FF,FE,FF,FF,00,00,00,
1439667,000001C0,false,Rx,0,8,D1,3E,00,40,63,55,55,57,
1439670,000000D9,false,Rx,0,8,2A,F5,00,10,00,F0,7F,CF,
1439673,000000A5,false,Rx,0,8,1D,0A,FF,F7,FF,00,00,C1,
1440707,000000C0,false,Rx,0,2,F1,40,00,00,00,00,00,00,
1440709,000000A7,false,Rx,0,7,BC,FA,FF,F0,FF,FF,0F,00,
1440711,000000DC,false,Rx,0,6,94,0A,22,D0,07,EE,00,00,
1441900,00000173,false,Rx,0,8,E5,F6,00,02,20,00,D2,9F,
1443439,000001A1,false,Rx,0,5,DB,C4,00,00,81,00,00,00,
1443441,00000197,false,Rx,0,4,3E,09,FE,FC,00,00,00,00,
1445705,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1445707,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1445709,00000293,false,Rx,0,5,58,A9,FE,FF,14,00,00,00,
1445710,0000019F,false,Rx,0,6,0C,F9,F4,7F,00,10,00,00,
1448081,0000036F,false,Rx,0,5,49,FD,FE,FF,14,00,00,00,
1448083,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
1448085,000001E1,false,Rx,0,6,D4,F7,00,FF,FF,FF,00,00,
1450084,000002BB,false,Rx,0,5,13,F4,3F,00,F2,00,00,00,
1450087,000000D9,false,Rx,0,8,CD,F6,00,10,00,F0,7F,CF,
1450089,000000FA,false,Rx,0,8,02,C0,08,00,C8,07,D0,D7,
1451103,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1451107,00000201,false,Rx,0,8,8E,BA,BF,C9,00,FF,F0,FF,
1451108,000002C4,false,Rx,0,8,00,00,00,FF,FF,00,00,0F,
1452292,0000029D,false,Rx,0,8,FF,FF,FF,FF,0F,FF,FF,FF,
1456690,00000199,false,Rx,0,6,DF,FA,E1,7E,00,20,00,00,
1456692,0000019A,false,Rx,0,6,9F,FA,3B,7F,00,10,00,00,
1456694,0000028E,false,Rx,0,5,86,D9,FE,FF,14,00,00,00,
1460337,000000D9,false,Rx,0,8,90,F7,00,10,00,F0,7F,CF,
1460340,000000A5,false,Rx,0,8,40,0B,FF,F7,FF,00,00,C1,
1460342,000000A7,false,Rx,0,7,FA,FB,FF,F0,FF,FF,0F,00,
1460343,000000DC,false,Rx,0,6,FE,0B,22,D0,07,EE,00,00,
1460345,00000294,false,Rx,0,5,A0,C2,FE,FF,14,00,00,00,
1461601,0000029C,false,Rx,0,8,FD,FF,0D,00,FD,E4,FF,FF,
1461603,00000302,false,Rx,0,7,24,FA,B6,6F,01,00,00,00,
1463479,000001A1,false,Rx,0,5,46,C5,00,00,81,00,00,00,
1465557,000003A1,false,Rx,0,8,00,01,00,03,00,C0,00,F0,
1465560,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1465563,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1466686,0000019F,false,Rx,0,6,3F,FB,06,80,00,10,00,00,
1468126,000002E0,false,Rx,0,6,4A,F4,75,40,24,FF,00,00,
1468128,00000065,false,Rx,0,8,BB,81,30,03,FF,FF,FF,FF,
1468130,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
1469315,000002EB,false,Rx,0,8,5C,F0,11,11,11,62,11,FF,
1470399,000000D9,false,Rx,0,8,CC,F8,00,10,00,F0,7F,CF,
1470402,000001AE,false,Rx,0,3,07,65,1A,00,00,00,00,00,
1470404,000001E4,false,Rx,0,8,3F,0B,61,61,11,11,11,11,
1470406,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1470408,00000145,false,Rx,0,3,C8,9F,F0,00,00,00,00,00,
1470409,000000FA,false,Rx,0,8,03,10,08,02,38,59,28,CA,
1471627,00000284,false,Rx,0,8,C8,80,0C,FF,FF,FF,FF,0F,
1471629,0000026C,false,Rx,0,8,AA,8C,F1,FF,FF,FF,FF,FF,
1473307,000002A7,false,Rx,0,5,5D,FC,FE,FF,14,00,00,00,
1473310,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
1473311,00000197,false,Rx,0,4,B2,0A,FE,FC,00,00,00,00,
1475686,0000019D,false,Rx,0,8,0A,3E,92,02,FF,FF,FF,FF,
1475688,00000199,false,Rx,0,6,BE,FC,E1,7E,00,20,00,00,
1476902,0000019A,false,Rx,0,6,F0,FC,45,7F,00,10,00,00,
1478273,00000314,false,Rx,0,5,50,80,1D,FF,FF,00,00,00,
1478276,000001BA,false,Rx,0,8,FF,FF,FC,FF,FF,FF,51,F0,
1479670,000001C0,false,Rx,0,8,D0,30,00,40,63,55,55,57,
1479672,00000376,false,Rx,0,3,AB,12,11,00,00,00,00,00,
1479673,000000D9,false,Rx,0,8,91,F9,00,10,00,F0,7F,CF,
1479674,000000A5,false,Rx,0,8,CE,0C,FF,F7,FF,00,00,C1,
1480815,000000A7,false,Rx,0,7,35,FC,FF,F0,FF,FF,0F,00,
1480817,00000095,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1480818,000000DC,false,Rx,0,6,F5,0C,22,D0,07,EE,00,00,
1480819,000001CE,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1480820,000001CF,false,Rx,0,8,64,68,96,00,00,F0,00,00,
1481939,00000163,false,Rx,0,8,6A,FC,04,25,13,15,06,F5,
1481940,0000024A,false,Rx,0,8,02,01,00,00,00,00,F4,FF,
1483443,000001A1,false,Rx,0,5,FC,C6,00,00,81,00,00,00,
1485689,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1485691,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
1485691,0000019F,false,Rx,0,6,6B,FD,F8,7F,00,10,00,00,
1488161,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
1488162,0000012F,false,Rx,0,8,88,7A,FA,DD,FF,FF,FF,00,
1488163,00000065,false,Rx,0,8,5C,82,30,03,FF,FF,FF,FF,
1490379,000000D9,false,Rx,0,8,76,FA,00,10,00,F0,7F,CF,
1490380,000000FA,false,Rx,0,8,05,86,12,08,76,76,76,00,
1490380,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
1491629,00000510,false,Rx,0,8,40,10,00,02,02,92,01,00,
